experiment,split_id,genus
within_cohort_zhuang2018,outer_fold_1,Intestinimonas
within_cohort_zhuang2018,outer_fold_1,Klebsiella
within_cohort_zhuang2018,outer_fold_1,Lachnoclostridium
within_cohort_zhuang2018,outer_fold_1,Lachnospira
within_cohort_zhuang2018,outer_fold_1,Lachnospiraceae FCS020 group
within_cohort_zhuang2018,outer_fold_1,Lachnospiraceae ND3007 group
within_cohort_zhuang2018,outer_fold_1,Lachnospiraceae NK4A136 group
within_cohort_zhuang2018,outer_fold_1,Lachnospiraceae UCG-001
within_cohort_zhuang2018,outer_fold_1,Lachnospiraceae UCG-004
within_cohort_zhuang2018,outer_fold_1,Lachnospiraceae UCG-010
within_cohort_zhuang2018,outer_fold_1,Lactobacillus
within_cohort_zhuang2018,outer_fold_1,Lactococcus
within_cohort_zhuang2018,outer_fold_1,Ligilactobacillus
within_cohort_zhuang2018,outer_fold_1,Limosilactobacillus
within_cohort_zhuang2018,outer_fold_1,Marvinbryantia
within_cohort_zhuang2018,outer_fold_1,Massilia
within_cohort_zhuang2018,outer_fold_1,Megamonas
within_cohort_zhuang2018,outer_fold_1,Megasphaera
within_cohort_zhuang2018,outer_fold_1,Methylobacterium-Methylorubrum
within_cohort_zhuang2018,outer_fold_1,Monoglobus
within_cohort_zhuang2018,outer_fold_1,NK4A214 group
within_cohort_zhuang2018,outer_fold_1,Negativibacillus
within_cohort_zhuang2018,outer_fold_1,Odoribacter
within_cohort_zhuang2018,outer_fold_1,Oscillibacter
within_cohort_zhuang2018,outer_fold_1,Paludicola
within_cohort_zhuang2018,outer_fold_1,Parabacteroides
within_cohort_zhuang2018,outer_fold_1,Paracoccus
within_cohort_zhuang2018,outer_fold_1,Paraprevotella
within_cohort_zhuang2018,outer_fold_1,Parasutterella
within_cohort_zhuang2018,outer_fold_1,Peptostreptococcus
within_cohort_zhuang2018,outer_fold_1,Phascolarctobacterium
within_cohort_zhuang2018,outer_fold_1,Phocea
within_cohort_zhuang2018,outer_fold_1,Prevotella
within_cohort_zhuang2018,outer_fold_1,Prevotella_9
within_cohort_zhuang2018,outer_fold_1,Pseudomonas
within_cohort_zhuang2018,outer_fold_1,Raoultibacter
within_cohort_zhuang2018,outer_fold_1,Rhodococcus
within_cohort_zhuang2018,outer_fold_1,Romboutsia
within_cohort_zhuang2018,outer_fold_1,Roseburia
within_cohort_zhuang2018,outer_fold_1,Rothia
within_cohort_zhuang2018,outer_fold_1,Ruminococcus
within_cohort_zhuang2018,outer_fold_1,Ruminococcus gnavus group
within_cohort_zhuang2018,outer_fold_1,Ruminococcus torques group
within_cohort_zhuang2018,outer_fold_1,Sellimonas
within_cohort_zhuang2018,outer_fold_1,Solobacterium
within_cohort_zhuang2018,outer_fold_1,Streptococcus
within_cohort_zhuang2018,outer_fold_1,Subdoligranulum
within_cohort_zhuang2018,outer_fold_1,Sutterella
within_cohort_zhuang2018,outer_fold_1,TM7x
within_cohort_zhuang2018,outer_fold_1,Terrisporobacter
within_cohort_zhuang2018,outer_fold_1,Thermus
within_cohort_zhuang2018,outer_fold_1,Turicibacter
within_cohort_zhuang2018,outer_fold_1,Tyzzerella
within_cohort_zhuang2018,outer_fold_1,UBA1819
within_cohort_zhuang2018,outer_fold_1,UCG-002
within_cohort_zhuang2018,outer_fold_1,UCG-003
within_cohort_zhuang2018,outer_fold_1,UCG-005
within_cohort_zhuang2018,outer_fold_1,UCG-009
within_cohort_zhuang2018,outer_fold_1,Veillonella
within_cohort_zhuang2018,outer_fold_1,Weissella
within_cohort_zhuang2018,outer_fold_1,[Clostridium] innocuum group
within_cohort_zhuang2018,outer_fold_1,[Eubacterium] fissicatena group
within_cohort_zhuang2018,outer_fold_1,[Eubacterium] nodatum group
within_cohort_zhuang2018,outer_fold_1,[Eubacterium] ruminantium group
within_cohort_zhuang2018,outer_fold_1,[Eubacterium] siraeum group
within_cohort_zhuang2018,outer_fold_1,[Eubacterium] xylanophilum group
within_cohort_zhuang2018,outer_fold_1,[Ruminococcus] gauvreauii group
within_cohort_zhuang2018,outer_fold_2,Acinetobacter
within_cohort_zhuang2018,outer_fold_2,Actinomyces
within_cohort_zhuang2018,outer_fold_2,Adlercreutzia
within_cohort_zhuang2018,outer_fold_2,Agathobacter
within_cohort_zhuang2018,outer_fold_2,Akkermansia
within_cohort_zhuang2018,outer_fold_2,Alistipes
within_cohort_zhuang2018,outer_fold_2,Allisonella
within_cohort_zhuang2018,outer_fold_2,Anaerostipes
within_cohort_zhuang2018,outer_fold_2,Anaerotruncus
within_cohort_zhuang2018,outer_fold_2,Atopobium
within_cohort_zhuang2018,outer_fold_2,Bacteroides
within_cohort_zhuang2018,outer_fold_2,Barnesiella
within_cohort_zhuang2018,outer_fold_2,Bifidobacterium
within_cohort_zhuang2018,outer_fold_2,Bilophila
within_cohort_zhuang2018,outer_fold_2,Blautia
within_cohort_zhuang2018,outer_fold_2,Butyricicoccus
within_cohort_zhuang2018,outer_fold_2,Butyricimonas
within_cohort_zhuang2018,outer_fold_2,CAG-352
within_cohort_zhuang2018,outer_fold_2,CAG-56
within_cohort_zhuang2018,outer_fold_2,Candidatus Soleaferrea
within_cohort_zhuang2018,outer_fold_2,Catabacter
within_cohort_zhuang2018,outer_fold_2,Christensenella
