cohort,taxon,n_folds_total,n_positive,n_negative,n_zero,median_coefficient,mean_coefficient,sign_stability
kazakhstan2022,Hirschia,10,3,7,0,-0.0015372174081261358,-0.0034507173513095,unstable
kazakhstan2022,Holdemanella,10,1,9,0,-0.010687367731364236,-0.01329904843711851,stable_negative
kazakhstan2022,Holdemania,10,10,0,0,0.020932315304098573,0.033337796020091494,stable_positive
kazakhstan2022,Howardella,10,0,10,0,-0.03502886840789102,-0.045642792922371375,stable_negative
kazakhstan2022,Hungatella,10,10,0,0,0.02597055779645211,0.02945143844067269,stable_positive
kazakhstan2022,Hyphomicrobium,10,3,7,0,-0.000626514434723474,0.0005707544247778053,unstable
kazakhstan2022,IS-44,10,9,1,0,0.002763123847765704,0.005053360313068754,stable_positive
kazakhstan2022,Iamia,10,0,10,0,-0.01957617426403975,-0.02363139102973979,stable_negative
kazakhstan2022,Ilumatobacter,10,0,10,0,-0.025593601477951047,-0.026576744401937264,stable_negative
kazakhstan2022,Incertae Sedis,10,1,9,0,-0.007901528079629759,-0.014468448405871684,stable_negative
kazakhstan2022,Intestinibacter,10,10,0,0,0.010397364357360816,0.014165427041324707,stable_positive
kazakhstan2022,Intestinimonas,10,10,0,0,0.025347530108787143,0.029531670880140214,stable_positive
kazakhstan2022,JGI 0001001-H03,10,10,0,0,0.013787469696193629,0.01332937268142816,stable_positive
kazakhstan2022,Klebsiella,10,0,10,0,-0.02109495513575875,-0.028386203233036516,stable_negative
kazakhstan2022,Kribbella,10,3,7,0,-0.0023983061851747117,-0.004849820902051442,unstable
kazakhstan2022,Lachnoclostridium,10,7,3,0,0.0009774231464774786,0.0009234028778432924,unstable
kazakhstan2022,Lachnospira,10,3,7,0,-0.0003718179078563923,-0.0014198049757768532,unstable
kazakhstan2022,Lachnospiraceae FCS020 group,10,1,9,0,-0.0027004117125885635,-0.004034280702489493,stable_negative
kazakhstan2022,Lachnospiraceae NC2004 group,10,8,2,0,0.0034568067434334665,0.012321359004553367,stable_positive
kazakhstan2022,Lachnospiraceae ND3007 group,10,0,10,0,-0.006783099510700901,-0.0066380138415754715,stable_negative
kazakhstan2022,Lachnospiraceae NK3A20 group,10,0,10,0,-0.03794218660504399,-0.054193827284091736,stable_negative
kazakhstan2022,Lachnospiraceae NK4A136 group,10,0,10,0,-0.014180292248876366,-0.018143886853279126,stable_negative
kazakhstan2022,Lachnospiraceae UCG-001,10,0,10,0,-0.005315171158922048,-0.005595087255341514,stable_negative
kazakhstan2022,Lachnospiraceae UCG-003,10,10,0,0,0.029281506090915524,0.0348892975946104,stable_positive
kazakhstan2022,Lachnospiraceae UCG-004,10,10,0,0,0.01397615658593001,0.01941940604774611,stable_positive
